response_timestamp,experience_years,Gender?,Age range?,Location?,Highest level of education?,What type of content writing do you primarily focus on? [Click all that apply],What industries do you primarily write for? [Click all that apply],How do you primarily source your clients? [Click all that apply],What's your current average monthly income from content writing? (Select the range closest to your earnings),What type of clients do you currently serve? ,What percentage of your current workflow involves AI tools?,Which AI do you often use in your workflow? [Click all that apply] ,What do you use AI for? [Click all that apply],How many days in a week do you work?,What are the biggest challenges you currently face as a content writer? [Click all that apply],What skills have become more important in the last 2 years? (Select all that apply),Would you choose content writing as a career if you were starting today?,What has contributed greatly to your success as a content writer?,What has been the most effective strategy for getting your clients? ,What trends do you see shaping content writing in Nigeria over the next 2-5 years and how are you preparing? ,Which content and industry niches do you see the most growth opportunities for content writers? ,What advice would you give to new content writers entering the field now?,How can the content writing community in Nigeria be strengthened?
2024/11/14 7:28:30 PM GMT+1,4 - 6 years,He/Him,18-30,Osun,Bachelor's Degree,Blog posts;Technical writing;SEO Content,SAAS;Technology;E-commerce,Referrals;LinkedIn;Direct pitching;Job boards ,"₦500,000 - ₦2,000,000",International companies,0-25%,Perplexity.ai,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Connectivity issues;Technological challenges;Market saturation;Payment issues,AI tool proficiency;Content strategy,No,"For me, building a network has contributed to my success. I've been doing this for a while so I've been able to build a community that provides a support system for me. ",Through referrals. This is one of the major benefits of building a network. ,"More and more content writers are looking to get international clients. This means competition would be fierce in the coming years and it would take a lot to for anyone to stand out of competition.

How am I preparing? I am building a subject market expert in a highly technical field and I plan on leveraging this to create content for a certain niche —that’s not easily accessible to others. 

I might also move away from content marketing as times goes on. ","Journalist-styled writing, ghostwriting for execs, and creating other marketing assets like BOFU content. ",Writing is a good thing but what else do you bring to the table? ,Creating a community and sharing resources that would help everyone grow. 
2024/11/14 8:26:03 PM GMT+1,Less than 2 years,She/Her,18-30,Akwa - Ibom,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters,"E-commerce;Hospitality, Real Estate companies",Social media;Freelance platforms;LinkedIn;Direct pitching,"₦200,000 - ₦500,000",Both local and international,26-50%,Chat GPT;Grammarly;Quillbot,Generating ideas;Writing first drafts,3 - 4 days,Finding high-paying clients,AI tool proficiency;SEO expertise;Content strategy,Yes,Building my personal brand online,"Direct approach, cold outreach, and freelance sites.","Contents will be optimized for mobile 
Better access to AI tools.
More need for video content 
More demand for added skills to writing.

- I’m upskilling to other fields, which will increase my chances of being hired.
- Focusing on mobile-friendly content 
- constantly staying updated with industry trends to stay afloat.","Tech, healthcare, e-commerce and AI related opportunities.","Build your brand online
Start writing, don’t just keep learning for months, you’ll learn better as you do.
Build your skills.","We need to be more connected, helping and building each other. "
2024/11/14 11:01:10 PM GMT+1,2 - 4 years,He/Him,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Technical writing;SEO Content,SAAS;Finance;E-commerce;Food,Referrals;Direct pitching,"₦200,000 - ₦500,000",Both local and international,0-25%,Chat GPT,Generating ideas,5 - 6 days,Finding high-paying clients;Market saturation,SEO expertise;Content strategy,Maybe,"Success is relative, but I'd take success in this context to mean getting good clients, improving as a writer, and delivering high-quality results.

One, curiosity. I became a content writer out of curiosity. It's kept me going. Curiosity could mean reading a lot (articles, case studies, user stories, LinkedIn posts, research papers, etc), participating in webinars, reading industry newsletters to know what's trending. The more I ask, the more I learn.
Two, pitching a lot. I slowed down on pitching this year cause I got swamped with work. But my first two years as a content writer, I pitched a lot (100+ apps/cold DMs). It's the nature of the game, and there's really no shame in saying no.
Three, being a generalist before being a specialist. Right now I write content for a food/e-commerce business. Before then I wrote for a SaaS/e-commerce business. Before that, I wrote across industries - Web3, Fintech, HR, Automobile, Construction. Being a generalist helped me get a handle on content research; now that half of my content revolves around e-commerce, I know how to dig the internet for insights that let me offer unique angles, however little.
Four, doing great work. Which includes timely communication, being open to feedback, and under-promising / over-delivering.
Five, personal branding. There are multiple ways to doing this, and I don't practice it as much as I should, but it works. It could include getting a website (or custom landing page), creating content on socials, growing an email community, etc.","One, applying to a lot of opportunities and embracing the numerous rejections. There will always be one that'd convert. There's always one.
Two, talking about my work. I would love to practice this more. Recently I posted a content SEO result I got, someone saw it and remembered I was a SEO content writer (that is, this person knew me, but had forgotten until he saw the post). That led to a gig. I've gotten referrals this way, too.
Three, praying, because there's nothing my God cannot do.","Today on LinkedIn I wrote about AI overviews and the need to talk more about them. And I think beyond overviews, AI will shape the industry in the coming years.
One way we can stand out is to being particular about telling authentic stories, and I think ","Web3 (looking to get back into it), because it's still early stages.
AI & its intersection with industries such as Cybersecurity, Automobile, IT, etc.
Finance & FinTech (and how the Crypto/Web3/AI wave might shake up things)","Stay off social media. Just kidding. But really, I think writers should prioritize doing great work. It's more important than talking about doing great work. Spend more time sourcing opportunities, researching, writing, editing, and reading. Build a tiny portfolio, volunteer your skills, pitch, apply, apply, apply.","More collaboration.
More documentation.
More emphasis on doing good work. There's so much info about personal branding out there, such that we can forget that doing good work often matters more. One referral can cover months of ""personal branding"", but referrals mostly come because of good work. Yeah, that's it."
2024/11/15 12:00:02 AM GMT+1,6 - 8 years,He/Him,18-30,Ibadan.,Masters' Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content;Whitepapers;Case studies,SAAS;Technology;Finance;Cryptocurrency/Web3;Healthcare,Social media;Referrals;Freelance platforms;LinkedIn;Direct pitching,"Above ₦2,000,000",International companies,26-50%,Chat GPT;Grammarly,Generating ideas,5 - 6 days,Finding high-paying clients;Competition from AI;Market saturation,AI tool proficiency;SEO expertise;Data analysis;Content strategy,Maybe,"Well, for one I’ll say my ability to adapt to different tones, audiences, and industries. This versatility enables me to produce high-quality, targeted content that aligns with the goals of various clients.

Also, my commitment to continuous learning and staying updated on industry trends—coupled with meticulous research and editing skills, has made me consistently deliver impactful, informative, and engaging content.","By far, it’s been cold emailing—from my experience, obviously. What I normally do is to research potential clients on LinkedIN, reach out to them to showcase my expertise and value I’ll bring onboard. 

Although this methodology is a long shot, it’s effective in the long run. However, you must have clear footprints in the digital world, so I wouldn’t recommend it to a greenhorn. ","There’s a rising demand for videos, infographics, and images that simplify and enhance storytelling. Visual content is increasingly favored across social media and digital platforms for its ability to convey information quickly and effectively. 

So, it’s imperative to quickly develop skills in multimedia content creation and explore new tools to incorporate visual elements that engage and inform audiences more deeply.
","Web3, without a doubt! 😂","Learn SEO and how to integrate it impeccably into your content. It’s not enough to write quality content, it’s that your content must be seen by people. ","The creation of symposiums, events, etc, where experienced writers come together to exchange ideas and distill valuable insights based on their work experience to newcomers. "
2024/11/15 12:09:49 AM GMT+1,2 - 4 years,She/Her,18-30,Edo state,Secondary School Certificate,"Blog posts;Technical writing;SEO Content;YouTube script, articles.",SAAS;Healthcare,Freelance platforms;Direct pitching,"Below ₦200,000",Both local and international,0-25%,Chat GPT;Grammarly,Editing content,3 - 4 days,Finding high-paying clients;Market saturation;Payment issues;Meeting deadlines & maintaining high quality standards,SEO expertise;Content strategy,Yes,Consistency and the push to learn.,"To be honest, I struggle with getting clients because I haven't been out there. What has helped me so far, are retained clients.","
In the past, writers were known to focus on written content only. However, putting video content brings home the fact that every video content is (usually) scripted first. ",Marketing.,"Keep learning.
Writing is one job where you learn on the go. Learn and implement.","I believe that writers need to bring each other together. If there's something that would be of help to another person, then share.

So I would say, community building."
2024/11/15 12:49:19 AM GMT+1,2 - 4 years,He/Him,18-30,Lagos,Bachelor's Degree,Blog posts;SEO Content,SAAS;Technology;Finance;HR,Referrals;LinkedIn,"Above ₦2,000,000",International companies,0-25%,Chat GPT;Claude AI;Grammarly,Generating ideas;Editing content,5 - 6 days,Meeting deadlines & maintaining high quality standards,SEO expertise;Content strategy;Being able to write high-impact refreshing content,Yes,Being proactive. Working very hard. Being disciplined. Getting inspired by successful freelance writers. Learning and practicing immediately.,"LinkedIn has been the best way of getting high-paying gigs for me. That involves applying to opportunities, getting inbound leads, getting tags or referrals from other writers. ","Good writing skills has only become more demanding especially with the rise of AI and has forced writers to improve, else lose work. Over the next few years, the top writers will be those who take the time and effort to build their skills and portfolio, and are capable of competing in the global market, not just in Nigeria.","Cybersecurity (demand never dies, online security will always be a thing)

Finance (same. As payment gets seamless and easier, we'd have more Fintech brands coming up)

SaaS( whether it's HR, project management, communication, CRM, etc., startups will keep popping up every now and then)

Healthcare (In a world where you have lots of incorrect info about health topics, brands will value those who can do top research and write great content [possibly with first-hand experience])","Don't be comfortable at the bottom. You don't have to start with 3 or 5 naira per word. You can actually start charging from $50 per piece. It's very possible. But the only way you can do that is if you put in the prior work to build your brand, skills, portfolio, then you can easily demand that. Build your LinkedIn, prioritize your brand more than anything. That's the best way to differentiate yourself with thousands of writers and AI tools out there.

Also, growing from $50 to $700 per piece is not impossible. As far as there are clients paying that amount, you can one day be the one getting paid that.",Training and Mentorship like the FCDC does. Being transparent so exploited folks can recognize that and demand better.
2024/11/15 9:45:58 AM GMT+1,2 - 4 years,He/Him,18-30,Port - Harcourt,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;Technical writing;SEO Content;Case studies,SAAS;Technology;Cryptocurrency/Web3;Healthcare,Referrals;LinkedIn;Direct pitching,"Below ₦200,000",Nigerian companies,0-25%,Copy AI;Grammarly,Generating ideas;Editing content,3 - 4 days,Finding high-paying clients;Technological challenges;Market saturation,SEO expertise;Data analysis;Content strategy,Yes,I've been able to learn as I grow. I think that has been the pinnacle for success.,Direct pitching. I just have to show clients what I can do and hope they find it useful in their endeavours.,Content is shifting towards web 3 and also more technical writing. Social media contents is fading away and is been replaced by AI so there's little originality there.,Technical writing especially in web 3 ,"Get all round knowledge. Have your hand in technical writing, blog posts , white papers and even case studies. This will enable you get more clients in the low income world of content writing.",By organising events both online and offline. Also creating a large content writing community that hosts content writers in the major states of the country.
2024/11/15 10:13:32 AM GMT+1,Less than 2 years,She/Her,18-30,Port - Harcourt,Bachelor's Degree,Blog posts;Technical writing;SEO Content;Whitepapers,SAAS;Cryptocurrency/Web3,LinkedIn;Direct pitching,"₦200,000 - ₦500,000",Both local and international,26-50%,Chat GPT;Grammarly,Generating ideas;Editing content,3 - 4 days,Technological challenges;Meeting deadlines & maintaining high quality standards,AI tool proficiency;SEO expertise;Data analysis,Yes,"Guidance from experienced people, collaboration and courses","I would say just basically sharing my journey. 
","I would say AI. 
AI generated contents are fast rising and what better way to be prepared other than keeping up with this innovation, but also having to learn not to solely depend on AI. ","Technical, web3","Take it one step at a time, don't be too quick to jump on roles.
Writing is just like every other skill, you have to keep practicing and learning. ",Collaboration!!
2024/11/15 11:11:52 AM GMT+1,Less than 2 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content;Case studies,SAAS;Community ,Referrals,"₦200,000 - ₦500,000",Both local and international,51-75%,Chat GPT;Grammarly,Writing first drafts,5 - 6 days,Meeting deadlines & maintaining high quality standards,Content strategy,Yes,"Talking to other writers, reading books about writing and practicing everyday. ",Referals ,Interested in seeing how Web SEO would evolve to beat AI Search Engines ,b2B Saas for sure ,"My advice to new content writers is to choose a niche that aligns both with your personal interests and high revenue potential. Dive deep into that industry—learn as much as you can. Build a strong portfolio by contributing articles to platforms that allow you to showcase your expertise. Join writing communities, continue honing your skills, and embrace the fact that writing, while challenging, is accessible to anyone willing to put in the effort. With practice, you can excel and become a leader in your field.

Additionally, build your personal brand publicly. Sharing your work and progress openly gives you a higher chance of standing out and breaking into your desired industry","To strengthen Nigeria's content writing community, there should be more collaboration through dedicated communities, increased access to educational resources and workshops, and peer-to-peer mentorship opportunities. Additionally, writers should be given more platforms to showcase their work on reputable sites. Communities and companies can play a vital role by offering writers opportunities to contribute articles and promoting their work extensively."
2024/11/15 11:56:48 AM GMT+1,2 - 4 years,She/Her,18-30,Calabar ,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content;Case studies,SAAS;Finance;Education,LinkedIn,"Below ₦200,000",Both local and international,26-50%,Chat GPT;Grammarly,Editing content,5 - 6 days,Finding high-paying clients,AI tool proficiency;SEO expertise;Data analysis,Yes,A close circle of good friends and putting what I know to practice. ,LinkedIn outreach,AI is shaping the way people create content. I'm preparing by learning how to create prompts that help make content better than take away the originality in it. ,"Fintech, SaaS ","Don't stop learning. Close the skill gap you discover you have, that's how you grow. ","It can be strengthened when everyone has a give rather than take mentality. When you join a community, look for ways to give more than you take. "
2024/11/15 12:22:13 PM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content,Technology;Cryptocurrency/Web3;Education,Social media;Freelance platforms;LinkedIn,"Below ₦200,000",Nigerian companies,0-25%,Grammarly;Quillbot,Generating ideas;Editing content,3 - 4 days,Finding high-paying clients;Competition from AI;Connectivity issues,SEO expertise;Data analysis;Content strategy,Yes,"Researching, writing and reading ",Networking and connection ,AI,Crypto and cyber security ,"Keep learning, researching and writing everyday",Encouragement from clients 
2024/11/15 12:50:14 PM GMT+1,2 - 4 years,She/Her,31-35,Ibadan,Bachelor's Degree,Blog posts;Website content;Technical writing;SEO Content,SAAS;Technology;Marketing,Referrals;LinkedIn;Direct pitching,"Above ₦2,000,000",Both local and international,0-25%,Chat GPT;Claude AI;Grammarly;Quillbot,Generating ideas;Editing content,It depends on the available workload,Finding high-paying clients;Market saturation,SEO expertise;Content strategy;Audience understanding mastery and crafting content that matches exactly their needs.,Yes,"Continuous upskilling. I learn almost every day, not necessarily about writing, but valuable skills to complement my experience. Networking has also helped greatly.",Collaborating with fellow freelancers.,,Tech,Continue improving yourself to become the best version of those you look up to. Be strategic about all you do in the digital space about your personal branding.,
2024/11/15 1:03:21 PM GMT+1,4 - 6 years,She/Her,36-40,Lagos,Bachelor's Degree,Blog posts;Website content;SEO Content,I am not a niche writer,Application ,"₦500,000 - ₦2,000,000",International companies,26-50%,Chat GPT;Claude AI;Grammarly,Generating ideas;Writing first drafts;Editing content,5 - 6 days,Finding high-paying clients,AI tool proficiency,No,Belonging to professional communities ,I see openings in various communities  I belong to and just apply. Same applies for job boards. I just apply.,"Frankly, I have no idea nor plans for a career in content writing here. Sorry, I can't help much here.",Maybe finance,"I'll just tell them to position themselves to serve the international market. If they are well grounded with best practice and global stadard, they can excel at their craft anywhere. Also, writers need to make AI their friend. ","We need to network more. More conferences, webinars. You know more professional buzz and even having a professional body will change how people perceive us. Especially when it comes to valuing our craft."
2024/11/15 1:30:38 PM GMT+1,4 - 6 years,She/Her,18-30,Akwa - Ibom,Bachelor's Degree,Blog posts;Website content;Social media content;SEO Content,Finance;Cryptocurrency/Web3;Real Estate,Social media;Referrals;LinkedIn;Direct pitching,"Above ₦2,000,000",International companies,0-25%,Chat GPT;Grammarly,Generating ideas;Editing content,3 - 4 days,Finding high-paying clients;Connectivity issues,AI tool proficiency;SEO expertise;Content strategy,Yes,"Social media (precisely Facebook and LinkedIn) and referrals from those who see me online. I started out not knowing so much about freelance platforms; and when I found Upwork, it was a struggle.

So, building a personal brand online has contributed to 90% (no exaggerations) of my success as a content writer.","To be for real;
- My optimized and structured LinkedIn profile 
- Targeted (ToFu, MoFu and BoFu) content on social media
- Word of mouth recommendations and referrals
- Cold outreaches","It has to be this AI thingy. The switch is real and is coming upon us faster than we could ever imagine.

I already plan to register and complete a professional AI course by the first quarter of next years.","Fintech is growing rapidly. 
Cryptocurrency and web3 is blooming. 
Health will live longer than forever (for real). 
Saas too, I mean every century (year even) is more technologically advanced than the last.

I believe they have the most growth opportunities.","Make Google, YouTube, and LinkedIn your best friends. Your passion should be researching. That’s how you stay ahead of the rest. 

Build your personal brand unashamedly.
“What will people think”?
Bury that mindset.

So far you’re consistent doing the right thing, push for the stars. Always remember that the best wins come from the highest numbers. It’s a numbers game out here.

Don’t bother giving up. It’s not rosy anywhere else.
Build your brand, build your experience (portfolio), build your client base; and you’ll bigger than the next big thing.","We should have a more intimate hub, where all content writers can share their struggles and wins, without fear of any general assumptions.

What we mostly find online are generalized groups with the ‘hosts’ sharing general knowledge (which can be found on Google in a single search).

We need a more personalized and intimate space. There are many beginner content writers with real struggles - from what to charge to how to land their first international client to how to create a portfolio. The list is endless."
2024/11/15 1:49:00 PM GMT+1,4 - 6 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content;Case studies,SAAS;Technology;Finance;E-commerce,Social media;Referrals;LinkedIn,"₦500,000 - ₦2,000,000",Both local and international,0-25%,Chat GPT;Grammarly,Generating ideas;Editing content;Rewriting blocks of text and Research,Any day needed,Finding high-paying clients;Competition from AI;Market saturation;Payment issues;Meeting deadlines & maintaining high quality standards,AI tool proficiency;Content strategy,Maybe,"My passion for writing
My network (past colleagues, friends, and family)
Learning materials from past employers 
My desire to keep making money","Referrals
Applying to jobs directly
Posting about being open to work on LinkedIn","AI (improving my AI-supported content skills)
Increased content marketing investment within companies due to them recognizing the value in it (ramping up my content strategy and writing skills so I can benefit from the uptick)
Video and podcast content (I’ve become somewhat of a content creator myself)","B2C tech companies
Fintech
SaaS (B2C and B2B)
Food
Ecommerce","Learn as much as possible everyday, the industry is constantly changing. Also, network horizontally and vertically; do it strategically and authentically though, so you don’t come off as a pest or opportunist.",Community 
2024/11/15 2:55:55 PM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Secondary School Certificate,Blog posts;SEO Content;Case studies,SAAS;Education,Freelance platforms;LinkedIn;Direct pitching,"Above ₦2,000,000",International companies,26-50%,Chat GPT;Grammarly,Generating ideas;Writing first drafts,5 - 6 days,Finding high-paying clients;Market saturation,AI tool proficiency;Content strategy,Yes,"Being consistent in delivering high-quality articles. No matter how much I get paid (whether it's low or high), I ensure that I do great work every time. I do in-depth research (including getting SME quotes) to differentiate my article from other articles on the SERPs, I'm proactive, I ask questions, and I implement feedback as well as I possibly can. This has helped me raise my rates with different clients. 

I also take deadlines very very seriously. I almost never miss a deadline. And if I realize I can't meet a particular deadline, I tell my editor/higher-up way beforehand and ask for no more than a few days extra to complete my work. ","The most effective strategy I've had is connecting with folks in content marketing leadership positions (in companies that I'd love to work with) and sending in my portfolio/cover letter/application whenever they post that they're hiring writers. That was how I landed HubSpot (which I followed up with for over 5 months before getting the job), Thinkific, and Adespresso.","Since I don't work with Nigerian companies, I'm not sure what the trends are in that space. But for international companies, I'm seeing a lot more businesses hiring strategists who know how to write rather than just content writers. 
To prepare, I'm currently participating in a mentorship program organized by the Freelance Coalition for Developing Countries (FCDC) founded by Chima Mmeje, a prominent Nigerian content marketer. I was paired with Carmen Apostu, a CMM at Convert.com and she's been putting through what that role entails in practice. I have also been taking courses to upskill in areas like content strategy and SEO. ","Software products will always be a thing, so the SaaS industry as a whole will remain in vogue, so to speak. I am seeing massive growth in the crypto and blockchain industries, though. E-commerce is also on the rise as well financial services and education. ","My foremost advice would be to create a portfolio. I wasn't hired by anyone for the first two years of endless pitching and job applications because I didn't have a portfolio. To offset this phase, pick a niche, pick four or five topics (the more technical, the better) in that niche, and write the best articles you possibly can on them (do deep research, find reports, get quotes, infuse your own ideas, etc.). Publish them on Medium and compile them in a free portfolio tool like Clippings.me. 

Whenever you apply for a job, include that portfolio so potential clients can gauge your abilities. ","Earlier this year, the FCDC organized a meetup, which I attended. I was able to connect with several Nigerian content writers and marketers, whom I talk to regularly and can call friends today. I think the content writing community in Nigeria can benefit from more events like that one.  "
2024/11/15 3:15:28 PM GMT+1,6 - 8 years,She/Her,31-35,Port - Harcourt,Masters' Degree,Blog posts;Website content;SEO Content;Whitepapers;Case studies,"Technology;Cryptocurrency/Web3;Jewelry, wedding, gambling ",LinkedIn,"₦500,000 - ₦2,000,000",Both local and international,0-25%,Chat GPT,Research ,5 - 6 days,Lack of skilled individuals to outsource to ,SEO expertise;Data analysis,No,"Time and consistency. I started freelance writing when it wasn't saturated and with the experience I gained, I've been able to scale through despite the rave of AI.",I only apply to jobs that are long term and contract. No one-offs jobs. ,"Script writing. With the increase in content creation, this would become a sought after skill. ",,,
2024/11/15 3:20:56 PM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Email newsletters;SEO Content;Case studies,SAAS;Technology,Social media;LinkedIn;Direct pitching,"₦500,000 - ₦2,000,000",Both local and international,0-25%,Chat GPT;Grammarly,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Connectivity issues;Market saturation;Payment issues;Meeting deadlines & maintaining high quality standards,AI tool proficiency;SEO expertise;Content strategy,Maybe,"Having access to the right information and people thanks to communities and my own research has helped. Also, documenting my process, wins, losses and ideas and falling back to them when things get tough has been super helpful, but nothing beats the right information and resources. ","LinkedIn and niche communities have been most helpful for me. I look out for hiring posts and send personalized messages to the hiring manager or poster. Plus, cold emails have also worked for me after sourcing leads. ","AI will definitely have a huge impact and will lead to more companies cutting cost when hiring writers. Especially due to the poor economy and the mindset of Nigerians when it comes to marketing. For me, I'm going back to the basics. Taking more courses, and being more intentional about the content I consume so my brain stays active even when I'm not writing. Also, building a stronger and diversified portfolio plus having a personal brand are extra measures I'm taking.","Industries: Cybersecurity, AI, Insurance, Finance, Telecommunication, ICT, EdTech, HR
Content: Articles, case studies, YouTube script. podcast transcription","1. Ignore the noise about AI and focus on honing your craft. 
2. For the first 2/3 years, don't chase the money. Get the right skills and have a structure to your growth. Even if it doesn't seem as lucrative. Join a corporate organisation or get a fulltime job instead of freelancing fulltime.
3. Don't work in a company that doesn't understand content marketing, they'll frustrate, kill your self-esteem and stunt your growth.
4. Get a distance mentor. Someone whose writing or career journey you admire from afar and study them. Your growth and how you present yourself will eventually get you an audience with them, if you need that. 
5. Document everything. Your wins, losses, process, posts you like. Create a swipe file for you and own your style.
6. No one is your competition, let others inspire you instead. No matter how saturated the space seems, there'll always be room for writers to shine or focus on your own journey and stick to it. If you fail or make mistakes, get over it quickly.","Communities should go beyond being a place where writers can be found to being more growth-focused. Assignments, training programs, writing feedback and other engaging activities should be the prominent features. "
2024/11/15 4:00:59 PM GMT+1,2 - 4 years,He/Him,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Technical writing;SEO Content,SAAS;Technology;Finance;Healthcare;Education;E-commerce,Organic,"Below ₦200,000",Both local and international,76-100%,Chat GPT;Claude AI;Grammarly,Generating ideas;Writing first drafts;Editing content,5 - 6 days,Finding high-paying clients;Meeting deadlines & maintaining high quality standards,SEO expertise;Content strategy,No,,,,,,
2024/11/15 4:06:15 PM GMT+1,Less than 2 years,He/Him,18-30,Abuja,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content,SAAS;Technology;Healthcare;Education;E-commerce,Freelance platforms;LinkedIn;Direct pitching,"Below ₦200,000",Nigerian companies,76-100%,Chat GPT;Perplexity,Generating ideas;Writing first drafts;Editing content,3 - 4 days,Finding high-paying clients;Payment issues,AI tool proficiency;SEO expertise;Content strategy,Maybe,Connecting with people.,I use a hybrid strategy when searching for clients ranging from using job sites to connecting with people on social media and offline.,I think AI will take over content writing but companies still need humans to control AI so mastering AI tools will help content writers in the long run.,Healthcare ,Master the use of AI to write.,"Honestly, I don’t have an answer for this question."
2024/11/15 4:46:46 PM GMT+1,2 - 4 years,She/Her,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content;Email newsletters,SAAS;Finance,Referrals;LinkedIn,"₦200,000 - ₦500,000",Nigerian companies,26-50%,Chat GPT;Claude AI;Grammarly,Generating ideas;Writing first drafts;Editing content,5 - 6 days,Finding high-paying clients;Meeting deadlines & maintaining high quality standards,SEO expertise;Content strategy,Yes,"My intentionality to improve, there is a tendency to become comfortable doing one thing the same way all the time because it works. But in reality you need to try new things and learn quickly so you don't lose relevance especially now that AI has become the new kid that everyone is trying to use one way or the other in their career.","The first best thing is to do good work  I mainly write for finance, from blogs, to news stories and newsletters. Someone read something I worked on and immediately pitched me to a real estate firm. I didn't need to talk or network my work spoke on  my behalf. Up next do not be scared to take on new types of writing gigs, you need to try new things and fail quickly to know if you can expand in that direction or choose something else. ","Content Writing is quickly becoming more than than it use to be and you need to learn and evolve quickly too. For me it's the use of AI, while AI is here to make work easy there is good work that needs to be done in other to use it correctly and effectively without seeming unprofessional. ",Okay this can be tricky but the one truth is any sector in the society that booms or grows at an unusual pace would need Content Writers to demystify its relevance to everyday people. So for now I believe finance is going no where. If you have not noticed six out of seven African unicorns are fintechs and finance will always be jargon to people trying to be financially savvy and responsible as they grow older and earn more money. Content writers are needed to break it down to them in relatable stories they can understand. Another niche is Edutech and SAAS as a whole.,As a beginner my first advice to you is write everything and anything. You need to write often even while you are taking that course to sharpen your skill. This helps reveal areas you need to learn more and show what you're good at. Another advice is to avoid writing the first draft of your work with AI. As a writer that learned to write before ChatGPT it is better to learn how to research and put thoughts together by yourself then fine tune with ChatGPT. After you have learnt this then you can use Chat GPT as much as you like. I'll advise you use it to get ideas and edit. My professional opinion tho. ,"Hmmmm, we need to look out for each other more. I have seen some professionals and how tight knit they are sharing resources, and gigs with one another. But in the writing community one person is closing gigs endlessly but there is no avenue to share how it is done either paid or free to others. And sometimes when they do it's fluff no substance in what is shared. I could as well have Googled if I needed such half baked information or asked on Quora. "
2024/11/15 5:35:25 PM GMT+1,8 - 10 years,She/Her,Above 40,Ibadan,Masters' Degree,Blog posts;Website content;SEO Content,SAAS;Technology;E-commerce,Freelance platforms;LinkedIn,"₦500,000 - ₦2,000,000",International companies,0-25%,Chat GPT,Generating ideas;Editing content,5 - 6 days,Finding high-paying clients;Competition from AI;Connectivity issues;Market saturation;Payment issues,AI tool proficiency;SEO expertise,Yes,Practice.,Multiple applications. ,AI,Technical writing ,,Through networking and training. 
2024/11/15 5:54:41 PM GMT+1,Less than 2 years,He/Him,18-30,Lagos,Bachelor's Degree,Blog posts;Website content;Social media content;SEO Content,Finance,LinkedIn;Upwork,"Below ₦200,000",International companies,0-25%,Chat GPT;Grammarly,Generating ideas,5 - 6 days,Finding high-paying clients,SEO expertise;Content strategy,Yes,Outsourcing my projects,Sharing my portfolio with a cover letter,Influencing big time for global brands. I am trying to hone my skills,"Finance
Cybersecurity
IT",Consistency is key. Focus on one thing and grow!,More physical events
2024/11/15 6:03:05 PM GMT+1,4 - 6 years,He/Him,18-30,Lagos,Masters' Degree,Blog posts;Website content;Social media content;Email newsletters;SEO Content,SAAS;Technology;E-commerce;DIY ,Referrals;Freelance platforms;LinkedIn,"₦500,000 - ₦2,000,000",Both local and international,76-100%,Chat GPT;Grammarly;Quillbot;Gemini,Generating ideas;Writing first drafts;Editing content,5 - 6 days,Connectivity issues;Meeting deadlines & maintaining high quality standards,AI tool proficiency;Content strategy,Maybe,I own and write articles for my own blog ,Frealance job boards ,More of editors for ai written content than actual writers ,Ecommerce ,Start by creating and writing blog articlesfor yourself ,Not sure 
2024/11/15 6:20:03 PM GMT+1,2 - 4 years,He/Him,18-30,Calabar,Bachelor's Degree,Blog posts;Technical writing,Technology;Cryptocurrency/Web3;Agriculture and Mental Health ,Freelance platforms;LinkedIn;Direct pitching,"₦200,000 - ₦500,000",Nigerian companies;Both local and international,0-25%,Copy AI;Grammarly;Quillbot,Writing first drafts;Editing content,3 - 4 days,Finding high-paying clients;Market saturation,Data analysis;Content strategy,Maybe,"I believe it is the passion. For now, that is all I have to say.  ",Email marketing and Cold Messaging ,"IOT, Quatum Computing, Cyberattacks, Generative AI.
Preparation: I have already generated a series for each topic.","Cybersecurity, Web3 and AI intergation ","I would advise aspiring content writers to be consistent, creative, and to always try new things. For the first few days are not funny at all. However, consistency is the key. ",We should write what AI can't write and generate what it can't generate 
